Date,Open,High,Low,Close,Volume,Turnover
2019-12-11,11867.35,11923.2,11832.3,11910.15,997655048,187605700000.0
2019-12-12,11944.3,12005.5,11934.0,11971.8,752617138,184012200000.0
2019-12-13,12026.4,12098.85,12023.6,12086.7,597712516,206268000000.0
2019-12-16,12131.35,12134.65,12046.3,12053.95,437703921,161103400000.0
2019-12-17,12082.45,12182.75,12070.35,12165.0,499585789,209687900000.0
2019-12-18,12197.0,12237.7,12163.45,12221.65,518854651,223410600000.0
2019-12-19,12223.4,12268.35,12191.15,12259.7,623049839,197619000000.0
2019-12-20,12266.45,12293.9,12252.75,12271.8,810676090,257502400000.00003
2019-12-23,12235.45,12287.15,12213.25,12262.75,604782354,180782300000.0
2019-12-24,12269.25,12283.7,12202.1,12214.55,470290298,138645600000.0
2019-12-26,12211.85,12221.55,12118.85,12126.55,520326632,163623100000.0
2019-12-27,12172.9,12258.45,12157.9,12245.8,383788556,136762000000.0
2019-12-30,12274.9,12286.45,12213.8,12255.85,411084614,145567300000.0
2019-12-31,12247.1,12247.1,12151.8,12168.45,426931711,148128900000.0
2020-01-01,12202.15,12222.2,12165.3,12182.5,304078039,104456800000.0
2020-01-02,12198.55,12289.9,12195.25,12282.2,407697594,152565500000.0
2020-01-03,12261.1,12265.6,12191.35,12226.65,428770054,168272700000.0
2020-01-06,12170.6,12179.1,11974.2,11993.05,396501419,168692200000.0
2020-01-07,12079.1,12152.15,12005.35,12052.95,447818617,177976800000.0
2020-01-08,11939.1,12044.95,11929.6,12025.35,445991640,182811500000.0
2020-01-09,12153.15,12224.05,12132.55,12215.9,477469878,184566400000.0
2020-01-10,12271.0,12311.2,12213.2,12256.8,660627930,188186200000.0
2020-01-13,12296.7,12337.75,12285.8,12329.55,500968242,175221300000.0
2020-01-14,12333.1,12374.25,12308.7,12362.3,616260555,179489199999.99997
2020-01-15,12349.4,12355.15,12278.75,12343.3,684352965,178825099999.99997
2020-01-16,12347.1,12389.05,12315.8,12355.5,395670245,160040600000.0
2020-01-17,12328.4,12385.45,12321.4,12352.35,502060615,213976300000.0
2020-01-20,12430.5,12430.5,12216.9,12224.55,491609317,214154300000.0
2020-01-21,12195.3,12230.05,12162.3,12169.85,443976442,186826500000.0
2020-01-22,12218.35,12225.05,12087.9,12106.9,526294513,197586800000.0
2020-01-23,12123.75,12189.0,12094.1,12180.35,867653663,238293900000.0
2020-01-24,12174.55,12272.15,12149.65,12248.25,593237908,180322700000.0
2020-01-27,12197.1,12216.6,12107.0,12119.0,441158138,179886100000.0
2020-01-28,12148.1,12163.55,12024.5,12055.8,478484057,209176200000.0
2020-01-29,12114.9,12169.6,12103.8,12129.5,514362340,206461800000.0
2020-01-30,12147.75,12150.3,12010.6,12035.8,538138743,193726699999.99997
2020-01-31,12100.4,12103.55,11945.85,11962.1,771278258,260449100000.0
2020-02-01,11939.0,12017.35,11633.3,11661.85,537634767,205981200000.0
2020-02-03,11627.45,11749.85,11614.5,11707.9,669815788,254152599999.99997
2020-02-04,11786.25,11986.15,11783.4,11979.65,560430291,223385000000.0
2020-02-05,12005.85,12098.15,11953.35,12089.15,758032580,229980500000.0
2020-02-06,12120.0,12160.6,12084.65,12137.95,565116236,217359199999.99997
2020-02-07,12151.15,12154.7,12073.95,12098.35,473475144,163396100000.0
2020-02-10,12102.35,12103.55,11990.75,12031.5,525674715,171851400000.0
2020-02-11,12108.4,12172.3,12099.0,12107.9,480491557,162095200000.0
2020-02-12,12151.0,12231.75,12144.3,12201.2,412399174,165983300000.00003
2020-02-13,12219.55,12225.65,12139.8,12174.65,501510138,163152700000.0
