Date,Open,High,Low,Close,Volume,Turnover
2020-05-12,18751.4,18993.4,18287.0,18862.85,395412970,104022000000.0
2020-05-13,20017.75,20122.25,19429.9,19634.95,520830667,120555600000.0
2020-05-14,19197.7,19380.1,19024.75,19068.5,333038859,77581700000.0
2020-05-15,19098.8,19119.1,18683.65,18833.95,240590869,55983200000.0
2020-05-18,18795.1,18795.1,17514.2,17573.2,434763906,99805000000.0
2020-05-19,18037.15,18175.3,17390.65,17486.25,415466049,95417600000.0
2020-05-20,17486.5,18002.65,17407.7,17840.2,326225920,75252400000.0
2020-05-21,17901.95,18200.7,17658.55,17735.1,347575113,77481200000.0
2020-05-22,17554.25,17952.25,17105.0,17278.9,484792159,99919500000.0
2020-05-26,17537.65,17681.7,17311.25,17440.35,336758208,68543700000.0
2020-05-27,17603.4,18874.25,17560.35,18710.55,538003230,129058200000.0
2020-05-28,18924.45,19455.55,18818.95,19169.8,561124154,143814000000.0
2020-05-29,18962.0,19358.05,18729.9,19297.25,581732090,109227600000.0
2020-06-01,19728.9,20225.35,19632.9,19959.9,558065113,102633200000.0
2020-06-02,20120.6,20615.75,19852.55,20530.2,448324616,113345400000.00002
2020-06-03,20966.6,21619.55,20822.0,20940.7,616871764,141897700000.0
2020-06-04,20932.35,21141.8,20316.2,20390.45,587859629,118401700000.0
2020-06-05,20516.4,21198.7,20425.05,21034.5,637447046,119504200000.0
2020-06-08,21636.1,21807.4,20911.25,21187.35,748110342,147842200000.0
2020-06-09,21295.5,21568.85,20629.7,20724.9,641246103,142423200000.0
2020-06-10,20760.95,21251.45,20671.55,21100.1,582992179,121217300000.0
2020-06-11,21084.7,21244.45,20458.3,20525.15,747065326,150021400000.0
2020-06-12,19529.3,20747.7,19526.1,20654.55,599190078,139356500000.0
2020-06-15,20457.15,20470.85,19740.2,19912.9,465009106,107073000000.0
2020-06-16,20500.65,20638.85,19507.05,20296.7,552448328,139035200000.0
2020-06-17,20137.45,20627.9,19978.15,20201.75,453526032,110145500000.0
2020-06-18,20137.6,21028.35,20030.35,20956.3,362837078,94721200000.00002
2020-06-19,20970.1,21467.65,20878.25,21338.1,523371321,131752900000.00002
2020-06-22,21491.55,22078.25,21425.55,21708.35,664606529,122249200000.0
2020-06-23,21859.25,22322.3,21647.8,22264.9,527935624,108725100000.0
2020-06-24,22479.35,22479.55,21336.35,21426.8,684574815,144671700000.0
2020-06-25,21218.05,21703.5,20926.45,21506.15,586179820,156026800000.0
2020-06-26,21735.05,21784.65,21320.1,21592.05,375592321,98985100000.0
2020-06-29,21291.55,21440.05,21026.45,21359.0,328004604,86066900000.0
2020-06-30,21524.3,21650.5,21212.0,21370.15,292655825,82089200000.0
2020-07-01,21354.1,22061.6,21281.85,21977.6,385956486,102679700000.0
2020-07-02,22133.8,22344.85,21890.5,21953.2,398994350,110778700000.00002
2020-07-03,22101.75,22130.3,21768.0,21852.4,256179957,70845000000.0
2020-07-06,22270.95,22399.25,22171.05,22198.95,290921694,78845400000.0
2020-07-07,22254.3,22674.5,22040.35,22628.0,455766093,116525500000.0
2020-07-08,22700.9,23080.6,22499.5,22584.65,673130542,163124000000.0
2020-07-09,22753.15,22998.3,22673.4,22907.2,355982560,89988500000.0
2020-07-10,22720.95,22835.2,22320.05,22398.45,457099610,89696299999.99998
2020-07-13,22613.25,22657.4,21981.65,22089.25,293704011,75166400000.0
2020-07-14,21877.6,21909.7,21222.45,21392.2,338499620,81348100000.0
2020-07-15,21634.25,21935.5,21230.55,21340.75,359145119,87481500000.0
2020-07-16,21453.25,21671.25,21027.85,21597.15,348563989,78389700000.0
2020-07-17,21608.05,22065.0,21550.8,21966.8,294921788,74044500000.0
2020-07-20,22307.3,22520.45,22187.8,22321.85,349653489,101724500000.0
2020-07-21,22639.85,22861.9,22597.95,22782.0,316649600,97443900000.0
2020-07-22,23159.0,23211.35,22658.2,22882.6,412721326,113497400000.0
2020-07-23,22854.85,23122.35,22734.9,23083.9,307580829,80387600000.0
2020-07-24,22853.2,22854.05,22417.2,22662.05,436264876,99081700000.0
2020-07-27,22664.6,22668.05,21801.35,21848.75,340888880,94075300000.0
2020-07-28,21940.15,22233.0,21611.4,22105.2,379785455,114785800000.0
2020-07-29,22075.0,22346.4,21906.35,22076.6,400357048,101635600000.0
2020-07-30,22195.05,22252.6,21580.15,21646.85,299568955,76622700000.0
2020-07-31,21730.55,21806.95,21375.0,21640.05,397341689,93452000000.0
2020-08-03,21543.8,21543.8,21031.45,21072.1,431029295,111518700000.00002
2020-08-04,21248.25,21576.35,21057.75,21490.5,297019822,91523400000.0
2020-08-05,21686.85,21936.5,21448.4,21509.95,338829581,88180100000.0
2020-08-06,21644.25,21926.55,21370.3,21642.6,386597915,95753900000.0
2020-08-07,21620.25,21787.25,21451.3,21754.0,378616471,76861400000.0
2020-08-10,21824.9,22071.95,21795.1,21900.25,261796164,59437600000.0
2020-08-11,22050.2,22277.6,22039.85,22227.2,377912975,81375000000.0
2020-08-12,22135.95,22326.55,21990.2,22264.0,507472323,93239400000.0
2020-08-13,22395.2,22439.95,22139.6,22196.35,289096635,64791700000.0
2020-08-14,22334.95,22334.95,21459.1,21679.4,318837489,71379900000.0
2020-08-17,21906.95,21909.4,21403.15,21700.85,263359893,61330500000.0
2020-08-18,21702.0,22227.75,21629.4,22170.6,311809274,68155900000.0
2020-08-19,22315.4,22419.35,22234.25,22285.9,348005901,68261700000.0
2020-08-20,21989.9,22079.9,21886.7,21999.45,314838525,72004900000.0
2020-08-21,22190.7,22344.05,22165.05,22299.6,347083160,74521500000.0
2020-08-24,22436.85,22897.5,22410.05,22833.0,346273118,80229100000.0
2020-08-25,22973.4,23180.3,22857.9,23092.15,422190044,102818900000.0
2020-08-26,23175.55,23453.4,23093.15,23414.2,337920632,95388100000.0
2020-08-27,23511.45,23704.05,23464.15,23600.35,430926732,116476700000.0
2020-08-28,23635.3,24611.8,23599.2,24523.8,812646625,199237200000.0
2020-08-31,25038.8,25232.6,23385.3,23754.35,712975732,187302700000.0
2020-09-01,23893.8,24199.65,23473.15,23812.0,484334092,116539900000.0
2020-09-02,23769.0,23926.15,23482.55,23874.55,293508250,73412100000.0
2020-09-03,23986.15,24051.6,23451.65,23530.85,214818095,58491500000.0
2020-09-04,23119.15,23394.8,22876.9,23011.5,341042607,86343300000.0
2020-09-07,23036.25,23109.1,22716.25,22945.05,245264124,59861400000.0
2020-09-08,22971.2,23064.15,22641.4,22744.4,231451727,59076400000.0
2020-09-09,22486.7,22554.6,22080.4,22267.0,305088443,72127400000.0
2020-09-10,22466.55,22678.65,22225.25,22466.2,278551123,70792100000.0
2020-09-11,22509.95,22668.75,22205.95,22479.95,214789265,57675800000.0
2020-09-14,22683.35,22757.3,22028.15,22101.25,265397711,65127800000.0
2020-09-15,22202.8,22514.15,22062.35,22465.65,248826760,61319300000.0
2020-09-16,22476.3,22659.4,22216.5,22573.55,245862302,61805600000.00001
2020-09-17,22352.0,22504.45,22267.05,22320.35,216408615,51167200000.0
2020-09-18,22439.35,22469.4,21784.9,22031.05,320585881,86910800000.0
2020-09-21,21983.4,22098.85,21274.3,21366.8,283525089,68464399999.99999
2020-09-22,21445.25,21473.35,20958.45,21139.1,325400312,73246100000.0
2020-09-23,21350.8,21365.05,20821.0,21178.5,299197195,57663100000.00001
2020-09-24,20898.8,20955.6,20404.9,20456.85,276420580,62186300000.0
2020-09-25,20740.8,21064.3,20430.7,20982.35,280646576,59025700000.0
2020-09-28,21152.05,21708.85,21055.1,21665.5,240223120,55509600000.0
2020-09-29,21770.9,21811.5,21280.6,21411.3,242993739,51299900000.0
2020-09-30,21405.25,21549.35,21128.5,21451.8,240051659,53101300000.0
2020-10-01,21685.25,22293.75,21664.15,22246.0,348728050,82070600000.0
2020-10-05,22352.1,22768.55,22247.25,22370.95,325414639,82087800000.0
2020-10-06,22673.05,22893.5,22521.05,22853.7,247980470,62212500000.0
2020-10-07,22836.95,23036.2,22607.8,22964.8,236098777,62223100000.00001
2020-10-08,23150.25,23450.9,23063.6,23191.35,280136398,79448000000.0
2020-10-09,23312.6,23904.1,23132.45,23846.8,350978943,102611400000.0
2020-10-12,23955.6,24190.35,23552.6,23712.8,280694619,69886500000.0
2020-10-13,23663.05,23775.15,23431.5,23492.2,190829083,53507299999.99999
2020-10-14,23353.15,23962.7,23149.45,23874.65,225363576,59074100000.0
2020-10-15,23920.35,24087.85,22970.95,23072.4,270328079,77709600000.0
2020-10-16,23219.85,23646.2,23148.95,23533.25,229438006,59312900000.0
2020-10-19,23902.9,24320.95,23754.85,24266.75,388154335,98247200000.0
2020-10-20,24117.35,24410.9,24039.85,24311.8,254147636,66165700000.0
2020-10-21,24444.2,24823.6,24099.85,24635.05,335657280,100643300000.0
2020-10-22,24447.35,24691.15,24250.2,24484.15,241407252,72874000000.0
2020-10-23,24669.2,24764.15,24360.85,24478.3,196845852,54064500000.0
2020-10-26,24525.8,24577.3,23867.75,24075.45,260452297,69499000000.0
2020-10-27,24288.05,24809.65,23924.2,24769.5,299009849,117903200000.0
2020-10-28,24737.85,24780.7,24057.95,24232.5,272722955,75095000000.0
2020-10-29,24063.5,24339.1,23822.05,24092.0,340550442,95428100000.0
2020-10-30,24090.15,24277.35,23612.7,23900.9,271824691,63085200000.00001
2020-11-02,24367.6,25139.0,24120.6,24892.5,437217701,117651600000.0
2020-11-03,25108.0,25760.7,25085.7,25682.8,407591534,108599300000.0
2020-11-04,25539.55,25891.0,25142.0,25771.6,409247572,114001900000.0
2020-11-05,26174.8,26375.2,26000.05,26313.1,385307914,107104000000.0
2020-11-06,26274.1,26853.45,26135.3,26798.95,357689528,112678100000.0
2020-11-09,27088.95,27595.0,27068.95,27534.1,365124397,110748200000.0
2020-11-10,28039.45,28802.5,27916.9,28606.0,595796701,195326300000.0
2020-11-11,28713.15,29030.9,28211.1,28845.0,497507807,180593000000.0
2020-11-12,28633.75,28672.9,28066.05,28278.8,308960319,112785100000.0
2020-11-13,28108.7,28520.55,27703.3,28465.7,330891449,107232500000.0
2020-11-14,28685.7,28752.45,28431.85,28594.3,43672347,11545100000.0
2020-11-17,28792.25,29239.25,28722.9,29181.3,317307486,109246299999.99998
2020-11-18,29107.9,29784.75,29056.75,29749.85,487620929,125384400000.0
2020-11-19,29302.6,29627.2,28819.55,28903.05,358602987,121892000000.0
2020-11-20,28935.75,29406.7,28580.9,29236.0,320010076,116141900000.0
